Back to Contents,Data 1: North Carolina Natural Gas Consumption by End Use,,,,,,
Sourcekey,N3060NC2,N3010NC2,N3020NC2,N3035NC2,NA1570_SNC_2,N3045NC2,
Date,Natural Gas Delivered to Consumers in North Carolina (Including Vehicle Fuel) (MMcf),North Carolina Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in North Carolina (MMcf),North Carolina Natural Gas Industrial Consumption (MMcf),North Carolina Natural Gas Vehicle Fuel Consumption (MMcf),North Carolina Natural Gas Deliveries to Electric Power Consumers (MMcf),
Jan-1989,,6946,4784,,,,
Feb-1989,,5655,4016,,,,
Mar-1989,,6202,4367,,,,
Apr-1989,,3723,3046,,,,
May-1989,,1899,2022,,,,
Jun-1989,,1020,1568,,,,
Jul-1989,,744,1475,,,,
Aug-1989,,695,1454,,,,
Sep-1989,,745,1534,,,,
Oct-1989,,1338,1843,,,,
Nov-1989,,2823,2639,,,,
Dec-1989,,6866,4396,,,,
Jan-1990,,8535,5379,,,,
Feb-1990,,4909,3690,,,,
Mar-1990,,4402,3400,,,,
Apr-1990,,3296,2747,,,,
May-1990,,1604,1820,,,,
Jun-1990,,957,1445,,,,
Jul-1990,,763,1394,,,,
Aug-1990,,732,1480,,,,
Sep-1990,,752,1596,,,,
Oct-1990,,1070,1795,,,,
Nov-1990,,2985,2715,,,,
Dec-1990,,4998,3817,,,,
Jan-1991,,7073,4947,,,,
Feb-1991,,6819,4647,,,,
Mar-1991,,5529,3990,,,,
Apr-1991,,2963,2629,,,,
May-1991,,1490,1928,,,,
Jun-1991,,931,1677,,,,
Jul-1991,,748,1613,,,,
Aug-1991,,756,1679,,,,
Sep-1991,,782,1789,,,,
Oct-1991,,1486,2052,,,,
Nov-1991,,3751,3200,,,,
Dec-1991,,5647,4162,,,,
Jan-1992,,7573,5169,,,,
Feb-1992,,7366,5066,,,,
Mar-1992,,5194,3983,,,,
Apr-1992,,4509,3296,,,,
May-1992,,2222,2205,,,,
Jun-1992,,1301,1733,,,,
Jul-1992,,837,1591,,,,
Aug-1992,,734,1607,,,,
Sep-1992,,806,1679,,,,
Oct-1992,,1781,2138,,,,
Nov-1992,,3446,3010,,,,
Dec-1992,,6819,4941,,,,
Jan-1993,,8379,5866,,,,
Feb-1993,,8140,5566,,,,
Mar-1993,,8024,5426,,,,
Apr-1993,,5030,3602,,,,
May-1993,,1977,1988,,,,
Jun-1993,,1039,1532,,,,
Jul-1993,,829,1437,,,,
Aug-1993,,761,1539,,,,
Sep-1993,,815,1674,,,,
Oct-1993,,1459,2067,,,,
Nov-1993,,3918,3379,,,,
Dec-1993,,6733,3292,,,,
Jan-1994,,11081,7247,,,,
Feb-1994,,9487,6269,,,,
Mar-1994,,6623,4727,,,,
Apr-1994,,3521,2761,,,,
May-1994,,1704,1844,,,,
Jun-1994,,1206,1605,,,,
Jul-1994,,866,1487,,,,
Aug-1994,,806,1647,,,,
Sep-1994,,903,1831,,,,
Oct-1994,,1568,2115,,,,
Nov-1994,,3655,2817,,,,
Dec-1994,,6030,4592,,,,
Jan-1995,,9068,5839,,,,
Feb-1995,,9632,6031,,,,
Mar-1995,,6916,4241,,,,
Apr-1995,,3644,3065,,,,
May-1995,,1882,1766,,,,
Jun-1995,,1095,1579,,,,
Jul-1995,,976,1487,,,,
Aug-1995,,799,1475,,,,
Sep-1995,,938,1597,,,,
Oct-1995,,1402,1740,,,,
Nov-1995,,4445,3263,,,,
Dec-1995,,8581,5279,,,,
Jan-1996,,12737,6913,,,,
Feb-1996,,11718,6421,,,,
Mar-1996,,7391,4851,,,,
Apr-1996,,6189,3760,,,,
May-1996,,2131,1970,,,,
Jun-1996,,1210,1586,,,,
Jul-1996,,889,1415,,,,
Aug-1996,,862,1575,,,,
Sep-1996,,913,1658,,,,
Oct-1996,,1701,1917,,,,
Nov-1996,,4461,3240,,,,
Dec-1996,,8607,5160,,,,
Jan-1997,,10031,5964,,,,
Feb-1997,,9983,5747,,,,
Mar-1997,,5800,3731,,,,
Apr-1997,,4080,2909,,,,
May-1997,,2986,2260,,,,
Jun-1997,,1596,1741,,,,
Jul-1997,,1072,1513,,,,
Aug-1997,,898,1592,,,,
Sep-1997,,934,1713,,,,
Oct-1997,,1438,1908,,,,
Nov-1997,,4875,3434,,,,
Dec-1997,,9202,5508,,,,
Jan-1998,,10796,6324,,,,
Feb-1998,,9836,5635,,,,
Mar-1998,,7633,4732,,,,
Apr-1998,,5083,3222,,,,
May-1998,,2272,1975,,,,
Jun-1998,,1207,1583,,,,
Jul-1998,,1058,1437,,,,
Aug-1998,,914,1571,,,,
Sep-1998,,973,1594,,,,
Oct-1998,,1217,1767,,,,
Nov-1998,,4062,2741,,,,
Dec-1998,,5735,3847,,,,
Jan-1999,,11181,6259,,,,
Feb-1999,,7462,4724,,,,
Mar-1999,,9427,5456,,,,
Apr-1999,,5325,3497,,,,
May-1999,,2597,2167,,,,
Jun-1999,,1312,1655,,,,
Jul-1999,,1062,1545,,,,
Aug-1999,,921,1554,,,,
Sep-1999,,1034,1806,,,,
Oct-1999,,1679,2074,,,,
Nov-1999,,3942,2876,,,,
Dec-1999,,6912,4405,,,,
Jan-2000,,11018,6530,,,,
Feb-2000,,13160,7211,,,,
Mar-2000,,7550,4836,,,,
Apr-2000,,4451,2967,,,,
May-2000,,2225,1924,,,,
Jun-2000,,1483,1897,,,,
Jul-2000,,1007,1529,,,,
Aug-2000,,1010,1542,,,,
Sep-2000,,1052,1695,,,,
Oct-2000,,2450,2192,,,,
Nov-2000,,5969,3964,,,,
Dec-2000,,12523,6824,,,,
Jan-2001,29800,14705,7812,7082,,200,
Feb-2001,21808,9561,5397,6749,,103,
Mar-2001,20434,7702,4696,7837,,199,
Apr-2001,14585,5039,3203,5882,,461,
May-2001,11544,2040,2024,6904,,577,
Jun-2001,11979,1101,1564,7048,,2266,
Jul-2001,13229,1086,1569,6810,,3764,
Aug-2001,15763,948,1445,7331,,6039,
Sep-2001,11364,1086,1626,7421,,1231,
Oct-2001,14905,2514,2264,9111,,1016,
Nov-2001,15898,4592,2946,8170,,189,
Dec-2001,19179,6443,4038,8498,,201,
Jan-2002,27750,11858,6314,8843,,736,
Feb-2002,25444,9526,5606,8714,,1598,
Mar-2002,22993,7835,4787,8888,,1481,
Apr-2002,16550,4091,2861,7805,,1792,
May-2002,13274,1763,1902,8045,,1565,
Jun-2002,14816,1705,1882,7271,,3958,
Jul-2002,16400,1014,1511,7074,,6801,
Aug-2002,17088,885,1437,7771,,6995,
Sep-2002,13640,1040,1624,7733,,3243,
Oct-2002,15047,2051,2429,8589,,1979,
Nov-2002,19024,6245,3620,8746,,413,
Dec-2002,27257,10891,6225,8826,,1315,
Jan-2003,32135,14064,7576,9007,,1488,
Feb-2003,30180,12890,7127,9247,,915,
Mar-2003,20979,8230,4812,7603,,334,
Apr-2003,15717,4754,3255,7196,,512,
May-2003,12038,2524,2268,6729,,517,
Jun-2003,9338,1454,1693,5652,,539,
Jul-2003,12359,1137,1560,6005,,3656,
Aug-2003,13177,1004,1521,6840,,3813,
Sep-2003,11210,1154,1698,6894,,1465,
Oct-2003,12814,2290,2758,7555,,211,
Nov-2003,16520,5223,3854,7175,,268,
Dec-2003,25999,10686,6140,8542,,632,
Jan-2004,31785,14020,7463,8627,,1675,
Feb-2004,30416,13510,7438,8576,,892,
Mar-2004,22379,8531,5282,8451,,115,
Apr-2004,16242,4921,3483,7575,,263,
May-2004,16033,1953,2214,7272,,4594,
Jun-2004,12711,1228,2035,6572,,2876,
Jul-2004,12866,1115,1949,5975,,3827,
Aug-2004,13027,1047,2038,6411,,3531,
Sep-2004,11970,1003,2017,7211,,1738,
Oct-2004,11729,1600,2305,7413,,412,
Nov-2004,15635,4216,3377,7730,,312,
Dec-2004,24946,9656,5782,8320,,1187,
Jan-2005,30538,12601,7551,8558,,1827,
Feb-2005,27324,11599,6951,8290,,485,
Mar-2005,26203,9662,6156,8545,,1841,
Apr-2005,17851,5311,3951,7185,,1404,
May-2005,13162,2771,2488,7155,,748,
Jun-2005,12669,1450,2108,6750,,2362,
Jul-2005,15688,1203,1958,6195,,6332,
Aug-2005,16197,1024,1889,6671,,6613,
Sep-2005,12616,1087,2026,6437,,3067,
Oct-2005,12082,1724,2564,7024,,770,
Nov-2005,15331,4739,3466,6886,,239,
Dec-2005,25731,10695,6590,7125,,1320,
Jan-2006,25596,10928,7102,7286,,280,
Feb-2006,23904,9647,6464,7493,,300,
Mar-2006,23271,7791,5564,8275,,1641,
Apr-2006,15873,4414,3540,6857,,1062,
May-2006,13091,1879,2561,7138,,1514,
Jun-2006,13120,1418,2232,6681,,2788,
Jul-2006,17476,1175,2138,6435,,7728,
Aug-2006,19153,980,2008,6954,,9210,
Sep-2006,11452,1153,2285,6813,,1201,
Oct-2006,14070,2399,3093,7653,,924,
Nov-2006,18457,5954,3884,7767,,852,
Dec-2006,22889,8768,5449,7799,,873,
Jan-2007,26988,10618,6772,8404,,1193,
Feb-2007,29743,12847,7443,7885,,1568,
Mar-2007,21686,8108,5270,7446,,862,
Apr-2007,17606,4405,3597,6927,,2678,
May-2007,13644,2440,2602,6857,,1745,
Jun-2007,14343,1310,2131,6633,,4270,
Jul-2007,14640,1154,1997,6483,,5005,
Aug-2007,22849,993,1965,6924,,12968,
Sep-2007,15744,1053,2068,6941,,5681,
Oct-2007,14159,1356,2352,7692,,2759,
Nov-2007,17540,5134,3902,8106,,398,
Dec-2007,23411,8947,5335,8102,,1027,
Jan-2008,31923,12948,7577,9226,,2171,
Feb-2008,25613,10202,6186,8470,,755,
Mar-2008,20960,6938,4686,8193,,1144,
Apr-2008,14500,3707,3120,7492,,181,
May-2008,11539,1521,2280,7160,,578,
Jun-2008,17475,1121,1998,6569,,7788,
Jul-2008,15799,1058,1909,6752,,6080,
Aug-2008,16088,1022,2010,6815,,6242,
Sep-2008,14403,1388,2707,6739,,3568,
Oct-2008,18408,3296,4602,7470,,3040,
Nov-2008,25102,9524,5251,7450,,2877,
Dec-2008,25949,11186,6241,6981,,1540,
Jan-2009,33360,14881,8960,7722,,1798,
Feb-2009,26215,10616,6565,7121,,1912,
Mar-2009,24096,8259,5670,7493,,2674,
Apr-2009,14130,3243,3161,6412,,1314,
May-2009,11754,1315,2464,6215,,1761,
Jun-2009,13141,754,1853,6053,,4481,
Jul-2009,14301,962,1983,6052,,5303,
Aug-2009,17248,947,2064,6300,,7937,
Sep-2009,17018,1128,2450,6337,,7103,
Oct-2009,14783,2760,3598,7166,,1259,
Nov-2009,20251,6420,4375,7215,,2241,
Dec-2009,32818,14358,8161,8166,,2133,
Jan-2010,39947,17239,9701,8409,3,4595,
Feb-2010,35317,14708,8911,8600,2,3096,
Mar-2010,23668,7595,5153,8362,3,2555,
Apr-2010,14667,1937,2691,6938,3,3098,
May-2010,16336,1252,2389,6905,3,5787,
Jun-2010,20764,942,1977,6890,3,10952,
Jul-2010,21588,883,1926,6773,3,12003,
Aug-2010,20403,904,2092,7105,3,10299,
Sep-2010,16263,1011,2433,7014,3,5803,
Oct-2010,17376,1873,3117,7762,3,4621,
Nov-2010,24848,7010,5190,8395,3,4250,
Dec-2010,44993,19166,10645,9166,3,6013,
Jan-2011,41316,17009,9522,10100,3,4681,
Feb-2011,28258,9734,6169,8880,2,3473,
Mar-2011,26456,7399,5460,9149,3,4445,
Apr-2011,17165,2890,2761,7820,2,3691,
May-2011,19834,1348,2568,7768,3,8148,
Jun-2011,21001,962,2133,7322,2,10582,
Jul-2011,24168,889,1980,7247,3,14049,
Aug-2011,22004,1066,2465,7646,3,10826,
Sep-2011,18096,1048,2382,7506,2,7157,
Oct-2011,21311,2812,3931,8383,3,6183,
Nov-2011,27931,6982,4446,8531,2,7969,
Dec-2011,32941,9506,6081,8758,3,8594,
Jan-2012,40964,13091,8072,9703,3,10096,
Feb-2012,38680,10105,6583,9092,2,12898,
Mar-2012,27015,4113,3545,8638,3,10717,
Apr-2012,24502,2349,3370,8003,2,10778,
May-2012,24744,1452,2205,8008,3,13077,
Jun-2012,24432,1135,2433,7571,2,13291,
Jul-2012,30979,901,1976,7495,3,20603,
Aug-2012,28599,1135,2673,7996,3,16794,
Sep-2012,25404,1015,2529,7827,2,14032,
Oct-2012,24849,2706,4003,9030,3,9107,
Nov-2012,32177,9189,5686,9415,2,7885,
Dec-2012,36164,9321,5878,9373,3,11589,
Jan-2013,45419,12218,6935,10322,6,15937,
Feb-2013,43334,12114,7155,9624,5,14435,
Mar-2013,45240,11612,7253,10428,6,15941,
Apr-2013,30555,3617,3390,9182,6,14360,
May-2013,29254,1823,3075,8594,6,15756,
Jun-2013,28663,942,2381,8040,6,17294,
Jul-2013,31638,1119,2613,8200,6,19699,
Aug-2013,31729,1011,2611,8535,6,19566,
Sep-2013,30748,1145,2873,8307,6,18418,
Oct-2013,30312,2345,3869,9062,6,15030,
Nov-2013,41672,9514,6415,9626,6,16111,
Dec-2013,47583,12192,6700,9743,6,18942,
Jan-2014,57988,19026,10966,10179,10,17808,
Feb-2014,37489,11969,7128,9703,9,8679,
Mar-2014,43371,11130,7155,10339,10,14737,
Apr-2014,30764,3272,3247,8893,10,15341,
May-2014,29393,1320,3196,8344,10,16523,
Jun-2014,32597,934,2826,7913,10,20914,
Jul-2014,32850,1120,2785,7936,10,20999,
Aug-2014,32377,973,2602,8256,10,20536,
Sep-2014,31670,1133,2779,8149,10,19600,
Oct-2014,27029,2037,3474,8957,10,12550,
Nov-2014,42666,9724,6594,9441,10,16897,
Dec-2014,50695,12540,7192,9794,10,21159,
Jan-2015,56943,15464,9139,10411,12,21918,
Feb-2015,56908,17363,10110,9375,11,20049,
Mar-2015,41790,7387,5408,9856,12,19126,
Apr-2015,33961,2814,3421,8546,12,19169,
May-2015,35730,1308,2488,8132,12,23790,
Jun-2015,38410,1123,2867,7794,12,26615,
Jul-2015,37444,1016,2487,7855,12,26073,
Aug-2015,36748,1214,2452,8155,12,24915,
Sep-2015,35567,1092,2889,7975,12,23600,
Oct-2015,35315,2737,4116,9045,12,19405,
Nov-2015,42679,6169,5334,8912,12,22253,
Dec-2015,42741,6836,4403,9050,12,22441,
Jan-2016,60153,16193,10183,10497,18,23262,
Feb-2016,55682,12917,7910,10050,17,24788,
Mar-2016,46701,5133,4281,9197,18,28073,
Apr-2016,39726,3302,3743,8635,17,24029,
May-2016,34844,1657,2879,8442,18,21849,
Jun-2016,35323,1222,2583,7671,17,23830,
Jul-2016,40519,1047,2585,7745,18,29125,
Aug-2016,42421,1045,2791,8374,18,30193,
Sep-2016,35766,1088,2792,7701,17,24168,
Oct-2016,32259,1719,3360,8628,18,18534,
Nov-2016,44312,6306,5301,8939,17,23750,
Dec-2016,51703,12920,7468,9626,18,21671,
Jan-2017,52350,11943,7633,9635,83,23056,
Feb-2017,43699,7129,5153,8663,75,22680,
Mar-2017,48773,8165,6205,9632,83,24688,
Apr-2017,31129,2309,2997,8284,80,17458,
May-2017,33826,1514,3008,8310,83,20911,
Jun-2017,34441,1039,2394,8108,80,22821,
Jul-2017,37775,1135,2628,7804,83,26126,
Aug-2017,37877,994,2709,8419,83,25674,
Sep-2017,35871,1096,2763,8157,80,23776,
Oct-2017,37168,2110,3906,9443,83,21626,
Nov-2017,46755,8039,5821,10190,80,22625,
Dec-2017,60579,14460,8508,10728,83,26801,
Jan-2018,65653,18821,10627,11762,116,24328,
Feb-2018,46369,7889,5830,9401,105,23145,
Mar-2018,58187,10994,7814,10959,116,28303,
Apr-2018,39488,4514,4621,9756,113,20485,
May-2018,36642,1307,2338,8886,116,23995,
Jun-2018,40902,1015,1996,8718,113,29061,
Jul-2018,48427,923,2104,8663,116,36621,
Aug-2018,45746,1005,2077,9045,116,33503,
Sep-2018,41613,977,2373,7976,113,30175,
Oct-2018,45054,2409,3967,9841,116,28721,
Nov-2018,54774,10479,6696,10737,113,26748,
Dec-2018,56658,12929,7544,11033,116,25036,
Jan-2019,62834,15211,9858,12025,134,25607,
Feb-2019,53864,9943,6619,10390,121,26791,
Mar-2019,53401,9502,6767,11533,134,25466,
Apr-2019,36285,3081,3392,9707,129,19976,
May-2019,35651,1363,2600,9184,134,22371,
Jun-2019,37536,1439,2758,8708,129,24502,
Jul-2019,41818,975,2145,8641,134,29924,
Aug-2019,41919,1015,2326,9224,134,29220,
Sep-2019,39745,1021,2478,8674,129,27442,
Oct-2019,39823,1766,3350,9487,134,25086,
Nov-2019,51745,9945,7558,10759,129,23354,
Dec-2019,55019,12688,7461,10782,134,23954,
Jan-2020,62439,13080,8651,11446,138,29124,
Feb-2020,58086,10739,7216,10640,129,29362,
Mar-2020,47015,5791,4524,10419,138,26143,
Apr-2020,30424,3524,3071,8902,134,14793,
May-2020,35225,2662,2421,8708,138,21294,
Jun-2020,37611,1619,2407,8410,134,25042,
Jul-2020,43802,910,2005,8277,138,32472,
Aug-2020,41874,1107,2251,8845,138,29532,
Sep-2020,36779,1427,2687,8673,134,23857,
Oct-2020,36826,2069,2996,9789,138,21833,
Nov-2020,42589,6222,5253,9660,134,21320,
Dec-2020,63899,14893,8701,11578,138,28589,
Jan-2021,68729,17183,9522,12084,135,29804,
Feb-2021,57350,14929,8760,11573,122,21966,
Mar-2021,47284,7777,5682,10886,135,22804,
Apr-2021,35204,3730,3869,10041,131,17432,
May-2021,36651,2188,2986,9551,135,21791,
Jun-2021,41335,1127,2304,8979,131,28794,
Jul-2021,54394,1148,2367,8933,135,41810,
Aug-2021,53632,1331,2976,9365,135,39825,
Sep-2021,44405,1170,2566,9242,131,31295,
Oct-2021,46759,2113,3496,9732,135,31283,
Nov-2021,65669,9394,6859,10998,131,38287,
Dec-2021,62003,9976,5331,10848,135,35713,
Jan-2022,77943,18470,11463,12052,143,35815,
Feb-2022,67140,12102,7043,10875,129,36990,
Mar-2022,52450,5393,5164,11113,143,30636,
Apr-2022,37553,2898,3529,9991,139,20996,
May-2022,45595,1194,2871,9560,143,31827,
Jun-2022,56760,1080,2047,9092,139,44403,
Jul-2022,65361,1008,2193,9119,143,52898,
Aug-2022,64623,1103,2467,9585,143,51325,
Sep-2022,51288,1299,2695,9198,139,37958,
Oct-2022,55628,3702,4264,10485,143,37034,
Nov-2022,62051,7537,5722,10442,139,38212,
Dec-2022,77718,16198,9385,11348,143,40643,
Jan-2023,72393,12315,7570,11485,117,40906,
Feb-2023,57030,8243,5675,10315,106,32691,
Mar-2023,54662,7621,5993,10841,117,30090,
Apr-2023,43728,3466,3465,10012,113,26671,
May-2023,45914,2237,3214,9691,117,30655,
Jun-2023,45224,894,2013,8596,113,33608,
Jul-2023,56710,1069,2158,8490,117,44875,
Aug-2023,57501,1091,2446,8764,117,45082,
Sep-2023,48724,1138,2574,8628,113,36271,
Oct-2023,47185,2630,3965,9687,117,30787,
,,,,,,,
